id,tab_file_name,ham_file_name,flight_id,status,attempt_count,max_attempts,row_count_tab,row_count_parquet,row_count_clickhouse,content_fingerprint,parquet_object_key,parquet_size_bytes,tab_zst_object_key,tab_zst_size_bytes,clickhouse_loaded_at,error_detail,created_at,updated_at,aircraft_type,is_subset,subset_row_count,column_count,had_trailing_tab_issue,original_size_bytes,compression_algorithm,compression_level,compress_duration_seconds,minio_upload_duration_seconds,clickhouse_load_duration_seconds,clickhouse_table_name,clickhouse_disk_bytes
4,synthetic_10k_5000.tab,,,error,2,3,5000,,5000,,,,grid/synthetic_10k_5000.tab.zst,36861312,2026-08-24 14:38:10.05558+00,"Bu deneme, host diski dolunca (Docker VHDX yaklasik 220GB buyumustu) elle durduruldu -- yarida kesildi, ClickHouse tablosu olusturulmamis/temizlenmis durumda. Onceki basarili yuklemenin metrikleri (compress/load sureleri, satir sayilari) bu satirda hala eski/gecerli deger olarak duruyor, sadece status gecerli degil. Bir sonraki calistirma bu dosyayi normal sekilde yeniden isleyecek.",2026-08-24 06:44:37.122677+00,2026-08-25 12:17:41.613043+00,AIRCRAFT_10K,f,,10002,f,143286375,zstd,12,21.128037929534912,0.20894074440002441,3.5875208377838135,synthetic_10k_5000,44441107
1,dataset_01.tab,,,done,0,3,2000,,2000,,,,raw/dataset_01_small.tab.zst,3498837,2026-08-22 08:24:16.286715+00,,2026-08-22 08:08:44.102741+00,2026-08-22 08:24:16.286715+00,,t,2000,1001,t,9520507,zstd,12,0.5839247703552246,0.02820897102355957,0.2586665153503418,dataset_01_raw,5380166
5,synthetic_10k_50000.tab,,,error,2,3,50000,,50000,,,,grid/synthetic_10k_50000.tab.zst,369598964,2026-08-24 14:38:35.029186+00,"Bu deneme, host diski dolunca (Docker VHDX yaklasik 220GB buyumustu) elle durduruldu -- yarida kesildi, ClickHouse tablosu olusturulmamis/temizlenmis durumda. Onceki basarili yuklemenin metrikleri (compress/load sureleri, satir sayilari) bu satirda hala eski/gecerli deger olarak duruyor, sadece status gecerli degil. Bir sonraki calistirma bu dosyayi normal sekilde yeniden isleyecek.",2026-08-24 06:46:25.130094+00,2026-08-25 12:17:41.615358+00,AIRCRAFT_10K,f,,10002,f,1432418039,zstd,12,216.63016867637634,2.6395046710968018,24.618698120117188,synthetic_10k_50000,439687854
6,synthetic_10k_100000.tab,,,error,2,3,100000,,100000,,,,grid/synthetic_10k_100000.tab.zst,736600313,2026-08-24 14:38:48.61368+00,"Bu deneme, host diski dolunca (Docker VHDX yaklasik 220GB buyumustu) elle durduruldu -- yarida kesildi, ClickHouse tablosu olusturulmamis/temizlenmis durumda. Onceki basarili yuklemenin metrikleri (compress/load sureleri, satir sayilari) bu satirda hala eski/gecerli deger olarak duruyor, sadece status gecerli degil. Bir sonraki calistirma bu dosyayi normal sekilde yeniden isleyecek.",2026-08-24 06:50:13.736457+00,2026-08-25 12:17:41.619761+00,AIRCRAFT_10K,f,,10002,f,2864806013,zstd,12,422.11421823501587,3.915775775909424,38.19255232810974,synthetic_10k_100000,878717292
8,synthetic_20k_5000.tab,,,error,2,3,5000,,5000,,,,grid/synthetic_20k_5000.tab.zst,73508491,2026-08-24 14:38:57.784446+00,"Bu deneme, host diski dolunca (Docker VHDX yaklasik 220GB buyumustu) elle durduruldu -- yarida kesildi, ClickHouse tablosu olusturulmamis/temizlenmis durumda. Onceki basarili yuklemenin metrikleri (compress/load sureleri, satir sayilari) bu satirda hala eski/gecerli deger olarak duruyor, sadece status gecerli degil. Bir sonraki calistirma bu dosyayi normal sekilde yeniden isleyecek.",2026-08-24 06:50:59.20585+00,2026-08-25 12:17:41.627035+00,AIRCRAFT_20K,f,,20002,f,286479324,zstd,12,43.20053577423096,0.3920257091522217,6.854140996932983,synthetic_20k_5000,99067495
18,synthetic_40k_100000.tab,,,error,4,3,100000,,100000,,,,grid/synthetic_40k_100000.tab.zst,2907619137,2026-08-25 05:40:11.715781+00,"Bu deneme, host diski dolunca (Docker VHDX yaklasik 220GB buyumustu) elle durduruldu -- yarida kesildi, ClickHouse tablosu olusturulmamis/temizlenmis durumda. Onceki basarili yuklemenin metrikleri (compress/load sureleri, satir sayilari) bu satirda hala eski/gecerli deger olarak duruyor, sadece status gecerli degil. Bir sonraki calistirma bu dosyayi normal sekilde yeniden isleyecek.",2026-08-24 07:59:33.798867+00,2026-08-25 12:17:41.855646+00,AIRCRAFT_40K,f,,40002,f,11452936018,zstd,12,934.1393685340881,10.424033880233765,242.40755939483643,synthetic_40k_100000,4795388068
9,synthetic_20k_50000.tab,,,error,2,3,50000,,50000,,,,grid/synthetic_20k_50000.tab.zst,734917191,2026-08-24 14:39:33.408435+00,"Bu deneme, host diski dolunca (Docker VHDX yaklasik 220GB buyumustu) elle durduruldu -- yarida kesildi, ClickHouse tablosu olusturulmamis/temizlenmis durumda. Onceki basarili yuklemenin metrikleri (compress/load sureleri, satir sayilari) bu satirda hala eski/gecerli deger olarak duruyor, sadece status gecerli degil. Bir sonraki calistirma bu dosyayi normal sekilde yeniden isleyecek.",2026-08-24 07:11:55.265023+00,2026-08-25 12:17:41.660447+00,AIRCRAFT_20K,f,,20002,f,2863809547,zstd,12,428.5106770992279,3.5457139015197754,35.05919790267944,synthetic_20k_50000,983965660
10,synthetic_20k_100000.tab,,,error,2,3,100000,,100000,,,,grid/synthetic_20k_100000.tab.zst,1469166147,2026-08-24 14:40:46.064854+00,"Bu deneme, host diski dolunca (Docker VHDX yaklasik 220GB buyumustu) elle durduruldu -- yarida kesildi, ClickHouse tablosu olusturulmamis/temizlenmis durumda. Onceki basarili yuklemenin metrikleri (compress/load sureleri, satir sayilari) bu satirda hala eski/gecerli deger olarak duruyor, sadece status gecerli degil. Bir sonraki calistirma bu dosyayi normal sekilde yeniden isleyecek.",2026-08-24 07:19:20.104786+00,2026-08-25 12:17:41.688644+00,AIRCRAFT_20K,f,,20002,f,5727499047,zstd,12,859.0658950805664,7.002691984176636,66.46907591819763,synthetic_20k_100000,1967925751
12,synthetic_30k_5000.tab,,,error,2,3,5000,,5000,,,,grid/synthetic_30k_5000.tab.zst,109795366,2026-08-24 14:41:05.577144+00,"Bu deneme, host diski dolunca (Docker VHDX yaklasik 220GB buyumustu) elle durduruldu -- yarida kesildi, ClickHouse tablosu olusturulmamis/temizlenmis durumda. Onceki basarili yuklemenin metrikleri (compress/load sureleri, satir sayilari) bu satirda hala eski/gecerli deger olarak duruyor, sadece status gecerli degil. Bir sonraki calistirma bu dosyayi normal sekilde yeniden isleyecek.",2026-08-24 07:20:48.039458+00,2026-08-25 12:17:41.716485+00,AIRCRAFT_30K,f,,30002,f,429676883,zstd,12,61.28967332839966,0.5687954425811768,12.089713096618652,synthetic_30k_5000,163992107
13,synthetic_30k_50000.tab,,,error,2,3,50000,,50000,,,,grid/synthetic_30k_50000.tab.zst,1096979910,2026-08-24 14:42:05.482645+00,"Bu deneme, host diski dolunca (Docker VHDX yaklasik 220GB buyumustu) elle durduruldu -- yarida kesildi, ClickHouse tablosu olusturulmamis/temizlenmis durumda. Onceki basarili yuklemenin metrikleri (compress/load sureleri, satir sayilari) bu satirda hala eski/gecerli deger olarak duruyor, sadece status gecerli degil. Bir sonraki calistirma bu dosyayi normal sekilde yeniden isleyecek.",2026-08-24 07:26:10.98155+00,2026-08-25 12:17:41.720825+00,AIRCRAFT_30K,f,,30002,f,4295199400,zstd,12,632.453232049942,5.657941102981567,59.09654140472412,synthetic_30k_50000,1628651593
